ID,Sex,Age (years),Complete,Date,Video1,,,,,,Video2,,,,,,Video3,,,,,,Video4,,,,,,Video5,,,,,,Video6,,,,,,Fatigue (after experiment),Order of videos,,,,,
,,,,,neutral,fear,sad,happy,anger,disgust,neutral,fear,sad,happy,anger,disgust,neutral,fear,sad,happy,anger,disgust,neutral,fear,sad,happy,anger,disgust,neutral,fear,sad,happy,anger,disgust,neutral,fear,sad,happy,anger,disgust,,,,,,,
001,Female,24,Finished,2018/4/13 14:00,7,1,1,5,1,1,1,5,1,1,1,7,1,6,1,1,1,1,2,1,3,1,1,1,2,1,1,6,1,1,1,1,1,1,6,3,4,neutral,disgust,fear,sad,happy,anger
002,Female,23,Finished,2018/4/16 15:00,1,3,3,1,6,6,1,3,3,1,2,7,7,1,1,1,1,1,7,1,1,1,1,1,3,1,6,1,2,1,4,4,1,1,1,1,4,anger,disgust,neutral,happy,sad,fear
003,Female,21,Finished,2018/4/16 20:00,1,1,1,4,1,1,4,1,1,1,1,1,1,2,1,1,2,6,1,1,1,1,1,7,1,6,1,1,1,5,1,7,1,1,1,1,4,happy,neutral,anger,sad,disgust,fear
004,Female,28,Finished,2018/4/17 10:00,1,5,1,1,1,7,1,1,1,4,1,1,1,1,5,1,1,1,1,1,3,1,5,1,7,1,1,1,1,1,1,7,1,1,1,1,2,disgust,happy,sad,anger,neutral,fear
005,Female,25,Finished,2018/4/17 14:00,6,1,1,1,1,1,1,1,1,1,5,1,1,7,1,1,1,1,1,1,1,7,1,1,1,1,3,1,1,1,7,1,1,1,1,1,1,neutral,anger,disgust,happy,sad,fear
006,Female,25,Finished,2018/4/17 19:00,1,7,3,1,3,5,5,1,1,6,1,1,3,1,6,1,1,1,7,1,1,3,1,1,1,4,1,1,3,6,1,2,3,1,7,5,4,fear,happy,sad,neutral,disgust,anger
007,Female,25,Finished,2018/4/18 9:00,1,6,1,1,1,7,1,1,7,1,1,1,1,1,1,6,1,1,1,6,1,1,1,1,7,1,1,1,1,1,1,4,1,1,6,5,4,disgust,sad,happy,fear,neutral,anger
008,Male,22,Finished,2018/4/18 14:00,2,5,1,1,1,1,4,1,2,1,1,4,1,1,5,1,5,1,7,1,1,1,1,1,4,1,3,1,1,1,5,1,1,2,1,1,1,fear,disgust,anger,neutral,sad,happy
009,Female,26,Finished,2018/4/19 10:00,6,1,2,1,1,1,1,5,6,1,1,5,1,1,6,1,1,1,5,1,1,2,1,2,1,4,1,1,1,1,1,1,1,4,1,1,2,neutral,anger,sad,disgust,fear,happy
