ID,Sex,Age (years),Complete,Date,"1. When I want to feel more positive emotion (such as joy or amusement), I change what I’m thinking about.",2. I keep my emotions to myself.,"3. When I want to feel less negative emotion (such as sadness or anger), I change what I’m thinking about.","4. When I am feeling positive emotions, I am careful not to express them.","5. When I’m faced with a stressful situation, I make myself think about it in a way that helps me stay calm.",6. I control my emotions by not expressing them.,"7. When I want to feel more positive emotion, I change the way I’m thinking about the situation.",8. I control my emotions by changing the way I think about the situation I’m in.,"9. When I am feeling negative emotions, I make sure not to express them.","10. When I want to feel less negative emotion, I change the way I’m thinking about the situation.","Expressive Suppression (ES) Score (2, 4, 6, 9)","Cognitive Reappraisal (CR) Score (1, 3, 5, 7, 8, 10)"
001,Female,24,Finished,2018/4/13 16:53:06,6,6,4,2,6,4,4,4,3,4,15,28
002,Female,23,Finished,2018/4/17 9:34:22,4,2,5,2,3,2,5,4,2,4,8,25
003,Female,21,Finished,2018/4/17 9:46:14,4,3,5,2,6,3,5,5,3,5,11,30
004,Female,28,Finished,2018/4/17 12:09:17,2,1,6,2,7,2,6,5,1,6,6,32
005,Female,25,Finished,2018/4/17 17:00:57,5,1,6,1,6,1,5,5,1,5,4,32
006,Female,25,Finished,2018/4/17 21:17:32,3,3,5,2,6,3,5,4,3,3,11,26
007,Female,25,Finished,2018/4/18 11:57:31,2,1,6,2,6,2,6,6,3,6,8,32
008,Male,22,Finished,2018/4/18 18:30:54,4,6,7,5,7,6,5,3,2,5,19,31
009,Female,26,Finished,2018/4/20 23:10:44,4,2,4,2,7,2,6,7,2,7,8,35
010,Female,25,Finished,2018/4/19 22:32:46,6,3,5,4,5,3,5,5,3,5,13,31
011,Female,24,Finished,2018/4/19 22:31:22,4,5,4,5,5,3,5,4,4,5,17,27
012,Male,22,Finished,2018/4/20 12:26:02,7,5,6,3,7,5,7,5,3,5,16,37
013,Male,25,Finished,2018/4/20 21:23:37,2,4,2,4,6,4,5,5,4,5,16,25
014,Male,23,Finished,2018/4/22 16:04:52,4,3,5,4,5,4,3,5,3,3,14,25
015,Female,25,Finished,2018/4/22 20:03:56,5,4,5,5,5,4,5,5,4,5,17,30
016,Male,21,Finished,2018/4/23 11:35:09,5,4,6,2,7,6,6,6,2,6,14,36
017,Female,26,Finished,2018/4/23 16:42:24,6,2,6,2,6,1,6,6,2,6,7,36
018,Female,26,Finished,2018/4/24 16:23:13,7,4,7,2,3,2,7,7,1,7,9,38
019,Male,21,Finished,2018/4/24 16:15:44,6,6,6,3,5,5,4,5,6,6,20,32
020,Male,25,Finished,2018/4/28 19:20:02,4,5,4,1,5,5,3,4,3,4,14,24
021,Female,24,Finished,2018/4/25 11:49:23,7,4,7,3,7,3,7,7,6,7,16,42
022,Female,25,Finished,2018/4/26 9:56:16,6,3,5,2,5,3,5,5,3,5,11,31
023,Female,24,Finished,2018/4/27 8:29:25,6,2,5,2,6,5,6,5,4,5,13,33
024,Female,24,Finished,2018/4/26 16:28:58,7,4,7,2,6,4,7,7,4,6,14,40
025,Female,25,Finished,2018/4/29 8:46:48,7,4,6,1,6,1,7,7,2,6,8,39
026,Female,24,Finished,2018/4/27 21:43:36,5,3,5,2,6,1,5,5,2,5,8,31
027,Female,25,Finished,2018/4/27 21:26:19,5,3,4,2,5,3,5,5,3,5,11,29
028,Female,27,Finished,2018/4/27 21:28:28,6,5,5,3,5,5,5,5,5,5,18,31
029,Female,25,Finished,2018/4/29 0:33:50,6,2,5,1,6,3,5,4,2,4,8,30
030,Female,24,Finished,2018/4/29 8:31:14,6,2,6,1,4,2,6,6,1,6,6,34
031,Male,23,Finished,2018/5/29 18:56:43,6,4,6,3,6,4,6,5,5,6,16,35
032,Male,25,Finished,2018/5/4 12:59:44,4,4,6,5,5,5,5,6,5,5,19,31
033,Female,26,Finished,2018/5/4 12:17:31,6,3,5,2,6,4,5,5,3,5,12,32
034,Female,25,Finished,2018/5/4 14:26:58,7,2,6,2,6,2,6,6,3,6,9,37
035,Female,25,Finished,2018/5/7 10:04:38,7,5,7,5,5,5,5,5,2,5,17,34
036,Female,26,Finished,2018/5/6 21:30:58,5,4,5,4,4,3,6,5,3,6,14,31
037,Male,31,Finished,2018/5/7 14:39:45,4,3,5,2,5,4,4,4,2,3,11,25
038,Female,25,Finished,2018/5/7 19:41:43,7,3,6,3,7,2,6,6,3,6,11,38
039,Male,23,Unfinished,,,,,,,,,,,,,
040,Female,24,Finished,2018/5/7 23:19:25,5,3,5,2,5,3,5,5,3,6,11,31
041,Male,25,Finished,2018/5/9 22:36:39,7,5,6,1,6,7,6,7,3,6,16,38
042,Female,22,Finished,2018/5/30 4:38:47,1,4,7,1,3,4,4,1,7,6,16,22
043,Male,25,Finished,2018/5/10 21:43:14,5,3,6,2,5,3,5,6,4,5,12,32
044,Male,21,Finished,2018/5/29 17:02:09,7,5,7,5,5,3,7,7,3,7,16,40
